model,precision,recall,f1,roc_auc,pr_auc,accuracy,train_accuracy,status
logistic_regression,0.3963254593175853,0.695852534562212,0.5050167224080268,0.764659145081837,0.47184971811495957,0.704,0.6855,FINISHED
random_forest,0.5241379310344828,0.35023041474654376,0.4198895027624309,0.7428035854064775,0.45781009232237546,0.79,1.0,FINISHED
gradient_boosting,0.5543478260869565,0.2350230414746544,0.3300970873786408,0.7327188940092167,0.4451106902335146,0.793,0.97125,FINISHED
